"","X","SurveyID","SiteID","SurveyDate","SurveyStartTime","WindScale","SkyCode","Rain","Temp","RH","LightConditions","RANOKA","RANOKA_Index","RANOKA_Count","RANCLA_Index","RANCLA","Year","time","date","Species","survdate"
"1",1,1330,5,"5/1/2006","20:24",1,0,0,21,90,1,0,0,0,0,0,2006,-2.16,-0.31,"Neither","5/1/2021"
"2",2,1334,3,"5/1/2006","22:30",1,0,0,21,90,1,0,0,0,1,1,2006,-0.9,-0.31,"BronzeFrog","5/1/2021"
"3",3,1335,4,"5/1/2006","22:00",1,0,0,21,90,1,0,0,0,1,1,2006,-1.2,-0.31,"BronzeFrog","5/1/2021"
"4",4,1336,2,"5/1/2006","22:51",1,0,0,21,90,1,0,0,0,1,1,2006,-0.69,-0.31,"BronzeFrog","5/1/2021"
"5",5,1338,16,"5/2/2006","0:18",1,0,0,18,90,0,0,0,0,0,0,2006,0.18,-0.3,"Neither","5/2/2021"
"6",6,1341,32,"5/2/2006","1:05",1,0,0,18,90,1,0,0,0,1,1,2006,0.65,-0.3,"BronzeFrog","5/2/2021"
"7",7,1342,298,"5/2/2006","1:14",1,0,0,18,90,1,0,0,0,1,1,2006,0.74,-0.3,"BronzeFrog","5/2/2021"
"8",8,1345,176,"5/2/2006","20:32",1,0,0,22,90,1,0,0,0,1,1,2006,-2.08,-0.3,"BronzeFrog","5/2/2021"
"9",9,1346,177,"5/2/2006","21:13",1,0,0,21,90,1,0,0,0,0,0,2006,-1.67,-0.3,"Neither","5/2/2021"
"10",10,1349,34,"5/2/2006","20:17",1,0,0,19,90,1,0,0,0,2,1,2006,-2.23,-0.3,"BronzeFrog","5/2/2021"
"11",91,1541,125,"5/2/2006","23:04",1,0,0,22,90,1,1,1,3,1,1,2006,-0.56,-0.3,"Both","5/2/2021"
"12",601,2854,192,"5/2/2008","20:29",3,2,0,25,67,0,0,0,0,0,0,2008,-2.11,-0.3,"Neither","5/2/2021"
"13",602,2857,51,"5/2/2008","22:43",1,2,0,24,76,0,0,0,0,0,0,2008,-0.77,-0.3,"Neither","5/2/2021"
"14",603,2858,18,"5/2/2008","23:01",2,2,0,24,77,0,0,0,0,0,0,2008,-0.59,-0.3,"Neither","5/2/2021"
"15",604,2859,473,"5/2/2008","21:39",2,2,0,22,79,0,0,0,0,0,0,2008,-1.41,-0.3,"Neither","5/2/2021"
"16",605,2860,17,"5/2/2008","22:20",1,2,0,22,76,0,1,0,5,0,1,2008,-1,-0.3,"Both","5/2/2021"
"17",606,2862,489,"5/2/2008","23:33",1,2,0,23,74,0,0,0,0,0,0,2008,-0.27,-0.3,"Neither","5/2/2021"
"18",607,2865,90,"5/3/2008","20:05",0,0,0,20,67,0,0,0,0,0,0,2008,-2.35,-0.29,"Neither","5/3/2021"
"19",608,2867,214,"5/3/2008","20:35",0,0,0,19,67,0,0,0,0,0,1,2008,-2.05,-0.29,"BronzeFrog","5/3/2021"
"20",609,2868,89,"5/3/2008","20:51",0,0,0,18,78,0,0,0,0,0,0,2008,-1.89,-0.29,"Neither","5/3/2021"
"21",610,2869,24,"5/3/2008","22:50",0,0,0,16,71,0,0,0,0,0,1,2008,-0.7,-0.29,"BronzeFrog","5/3/2021"
"22",611,2870,185,"5/3/2008","23:00",0,0,0,17,70,0,1,0,1,0,0,2008,-0.6,-0.29,"BogFrog","5/3/2021"
"23",612,2871,266,"5/3/2008","22:17",0,0,0,19,64,0,0,0,0,0,1,2008,-1.03,-0.29,"BronzeFrog","5/3/2021"
"24",613,2872,495,"5/3/2008","22:35",0,0,0,16,71,0,1,0,2,0,1,2008,-0.85,-0.29,"Both","5/3/2021"
"25",614,2873,92,"5/3/2008","21:11",0,0,0,19,72,0,0,0,0,0,1,2008,-1.69,-0.29,"BronzeFrog","5/3/2021"
"26",615,2874,163,"5/3/2008","21:24",0,0,0,20,66,0,1,0,3,0,1,2008,-1.56,-0.29,"Both","5/3/2021"
"27",616,2875,13,"5/3/2008","21:37",0,0,0,17,73,0,0,0,0,0,1,2008,-1.43,-0.29,"BronzeFrog","5/3/2021"
"28",617,2876,168,"5/3/2008","23:38",0,0,0,16,85,0,0,0,0,0,1,2008,-0.22,-0.29,"BronzeFrog","5/3/2021"
"29",11,1359,214,"5/4/2006","20:15",2,1,0,25,90,2,0,0,0,0,0,2006,-2.25,-0.28,"Neither","5/4/2021"
"30",12,1360,90,"5/4/2006","20:35",1,1,0,23,90,2,0,0,0,0,0,2006,-2.05,-0.28,"Neither","5/4/2021"
"31",13,1361,92,"5/4/2006","21:24",1,1,0,23,90,2,0,0,0,0,0,2006,-1.56,-0.28,"Neither","5/4/2021"
"32",14,1362,89,"5/4/2006","21:52",1,1,0,23,90,2,0,0,0,0,0,2006,-1.28,-0.28,"Neither","5/4/2021"
"33",15,1363,13,"5/4/2006","22:17",1,1,0,23,90,2,0,0,0,1,1,2006,-1.03,-0.28,"BronzeFrog","5/4/2021"
"34",16,1364,163,"5/4/2006","22:33",1,1,0,23,90,2,0,0,0,1,1,2006,-0.87,-0.28,"BronzeFrog","5/4/2021"
"35",17,1365,212,"5/4/2006","23:30",1,1,0,20,90,2,0,0,0,0,0,2006,-0.3,-0.28,"Neither","5/4/2021"
"36",18,1366,211,"5/4/2006","23:48",1,1,0,20,90,2,0,0,0,1,1,2006,-0.12,-0.28,"BronzeFrog","5/4/2021"
"37",618,2877,27,"5/4/2008","0:10",0,0,0,19,70,0,0,0,0,0,1,2008,0.1,-0.28,"BronzeFrog","5/4/2021"
"38",619,2878,14,"5/4/2008","0:31",0,0,0,16,75,0,1,0,1,0,1,2008,0.31,-0.28,"Both","5/4/2021"
"39",620,2879,125,"5/4/2008","0:46",0,0,0,18,70,0,1,0,4,0,1,2008,0.46,-0.28,"Both","5/4/2021"
